,reaction,name,notes,annotation,gpr,subunit_mw,subunit_num,reaction_mw_not_condider_subunit,reaction_mw_condider_subunit,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_zhaoxin,kcat_GO,kcat_ec_model,kcat_GO_change_type,kcat_zhao_change_type,model_ori_fluxes,ECMpy_fluxes,model_gecko_no_adj_fluxes,model_gecko_adj_fluxes,model_gecko_no_adj_subunit_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_no_adj_fluxes,model_smoment_adj_fluxes,model_smoment_no_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes
ASPK,asp__L_c + atp_c --> 4pasp_c + adp_c,Aspartate kinase,"OrderedDict([('reflection', 'ASPK_reverse')])","OrderedDict([('bigg.reaction', 'ASPK'), ('biocyc', 'META:ASPARTATEKIN-RXN'), ('ec-code', '2.7.2.4'), ('kegg.reaction', 'R00480'), ('metanetx.reaction', 'MNXR96085'), ('rhea', ['23776', '23777', '23778', '23779']), ('sbo', 'SBO:0000375')])",b3940 or b0002 or b4024,88.88769 or 89.12024 or 48.53173 ,2 or 4 or 2 ,48.5317,97.0635,20.91363636,19.59980242,1.35,175.3781063,135,135,175.3781063,,modify,0.937576674,0.756270975,0,0,0,0,0.936901279,0.936901279,1.021860493,0.626137186
PGK_reverse,13dpg_c + adp_c --> 3pg_c + atp_c,,"OrderedDict([('reflection', 'PGK')])",,b2926,41.11822,1,41.1182,41.1182,922.8375,871.4029513,72.29333547,42,72.29333547,72.29333547,164.4728,,,17.1054336,16.835872,17.13005436,17.08352759,17.55101166,9.100258102,17.08352894,17.08352894,17.5439986,9.10062578
AMANAPEr_reverse,acgam6p_c --> acmanap_c,,"OrderedDict([('reflection', 'AMANAPEr')])",,b3223,24.07366,1,24.0737,24.0737,,,17.37511344,163.0500171,17.37511344,17.37511344,163.0500171,,,0,0,0,0,0,0,0,0,0,0
AGPAT161,1hdec9eg3p_c + hdeACP_c --> ACP_c + pa161_c,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),,"OrderedDict([('bigg.reaction', 'AGPAT161'), ('ec-code', '2.3.1.51'), ('metanetx.reaction', 'MNXR95564'), ('sbo', 'SBO:0000375')])",b3018,27.45316,1,27.4532,27.4532,,,15.98679631,160,15.98679631,15.98679631,160,,,0.065962468,0.053206849,0.06145651,0.065914949,0.028144637,0.044062999,0.065914952,0.065914952,0.028129947,0.044051389
ACONTa,cit_c --> acon_C_c + h2o_c,"Aconitase (half-reaction A, Citrate hydro-lyase)","OrderedDict([('reflection', 'ACONTa_reverse')])","OrderedDict([('bigg.reaction', 'ACONTa'), ('biocyc', 'META:ACONITATEDEHYDR-RXN'), ('ec-code', '4.2.1.3'), ('kegg.reaction', 'R01325'), ('metanetx.reaction', 'MNXR95386'), ('rhea', ['10228', '10229', '10230', '10231']), ('sbo', 'SBO:0000375')])",b0118 or b1276,93.49811 or 97.67722 ,2 or 2 ,93.4981,186.9962,202.78,174.7705048,35.25057259,21.63391493,35.25057258,35.25057258,155.8301667,,,6.913003111,2.172486765,5.658432319,6.898439793,0.402330535,0.629885177,6.898440691,6.898440691,0.402120529,0.629719209
ACONTb_reverse,icit_c --> acon_C_c + h2o_c,,"OrderedDict([('reflection', 'ACONTb')])",,b0118 or b1276,93.49811 or 97.67722 ,2 or 2 ,93.4981,186.9962,202.78,174.7705048,25.44044418,16.28213257,25.44044418,25.44044418,155.8301667,,,0,0,0,0,0,0,0,0,0,0
ACONTa_reverse,acon_C_c + h2o_c --> cit_c,,"OrderedDict([('reflection', 'ACONTa')])",,b0118 or b1276,93.49811 or 97.67722 ,2 or 2 ,93.4981,186.9962,202.78,174.7705048,24.04205683,9.51941709,24.04205683,24.04205683,155.8301667,,,0,0,0,0,0,0,0,0,0,0
ACONTb,acon_C_c + h2o_c --> icit_c,"Aconitase (half-reaction B, Isocitrate hydro-lyase)","OrderedDict([('reflection', 'ACONTb_reverse')])","OrderedDict([('bigg.reaction', 'ACONTb'), ('ec-code', '4.2.1.3'), ('kegg.reaction', 'R01900'), ('metanetx.reaction', 'MNXR95387'), ('rhea', ['22144', '22145', '22146', '22147']), ('sbo', 'SBO:0000375')])",b0118 or b1276,93.49811 or 97.67722 ,2 or 2 ,93.4981,186.9962,202.78,174.7705048,17.22063074,28.39443256,1722.063074,1722.063074,155.8301667,,modify,6.913003111,2.172486765,5.658432319,6.898439793,0.402330535,0.629885177,6.898440691,6.898440691,0.402120529,0.629719209
AIRC2,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,Phosphoribosylaminoimidazole carboxylase,,"OrderedDict([('bigg.reaction', 'AIRC2'), ('ec-code', '6.3.4.18'), ('metanetx.reaction', 'MNXR95644'), ('rhea', ['19317', '19318', '19319', '19320']), ('sbo', 'SBO:0000375')])",b0522,39.46112,2,39.4611,78.9222,10.26433333,10.26433333,5.9,154,5.9,5.9,154,,,0.392714091,0.316772245,0.365887418,0.392431177,0.167561886,0.262333428,0.392431194,0.392431194,0.167474423,0.262264306
PTAr,accoa_c + pi_c --> actp_c + coa_c,Phosphotransacetylase,"OrderedDict([('reflection', 'PTAr_reverse')])","OrderedDict([('bigg.reaction', 'PTAr'), ('biocyc', 'META:PHOSACETYLTRANS-RXN'), ('ec-code', '2.3.1.8'), ('kegg.reaction', 'R00230'), ('metanetx.reaction', 'MNXR103319'), ('rhea', ['19521', '19522', '19523', '19524']), ('sbo', 'SBO:0000375')])",b2297 or b2458,77.17209 or 36.06673 ,6 or 2 ,36.0667,72.1335,1549.610833,1492.64113,120,152.1727123,120,120,152.1727123,,,0,6.068124191,0,0,0,0,0,0,0,0
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Citrate synthase,,"OrderedDict([('bigg.reaction', 'CS'), ('biocyc', ['META:CITSYN-RXN', 'META:RXN-14905']), ('ec-code', ['2.3.3.1', '2.3.3.16', '2.3.3.3']), ('kegg.reaction', 'R00351'), ('metanetx.reaction', 'MNXR96920'), ('rhea', ['16845', '16846', '16847', '16848']), ('sbo', 'SBO:0000375')])",b0720,48.01499,6,48.015,288.0899,48.22564103,47.25880043,44,29,44,44,150.2868978,,,6.913003111,2.172486765,5.658432319,6.898439793,0.402330535,0.629885177,6.898440691,6.898440691,0.402120529,0.629719209
ME2,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,Malic enzyme (NADP),,"OrderedDict([('bigg.reaction', 'ME2'), ('biocyc', 'META:MALIC-NADP-RXN'), ('ec-code', '1.1.1.40'), ('kegg.reaction', 'R00216'), ('metanetx.reaction', 'MNXR101443'), ('rhea', ['18253', '18254', '18255', '18256']), ('sbo', 'SBO:0000375')])",b2463,82.41738,6,82.4174,494.5043,136.0168421,136.0168421,66.6,139.5847681,66.6,66.6,139.5847681,,,0,0,0,0,0,0,0,0,0,0
DHAD2,23dhmp_c --> 3mop_c + h2o_c,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",,"OrderedDict([('bigg.reaction', 'DHAD2'), ('biocyc', 'META:DIHYDROXYMETVALDEHYDRAT-RXN'), ('ec-code', '4.2.1.9'), ('kegg.reaction', 'R05070'), ('metanetx.reaction', 'MNXR97359'), ('rhea', ['27694', '27695', '27696', '27697']), ('sbo', 'SBO:0000375')])",b3771,65.53157,2,65.5316,131.0631,14.89546154,46.47105175,19.60354844,139,19.60354844,19.60354844,139,,,0.254793124,0.205522012,0.237387964,0.254609569,0.108714246,0.170202076,0.25460958,0.25460958,0.1086575,0.17015723
AGPAT160,1hdecg3p_c + palmACP_c --> ACP_c + pa160_c,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),,"OrderedDict([('bigg.reaction', 'AGPAT160'), ('ec-code', '2.3.1.51'), ('metanetx.reaction', 'MNXR95561'), ('sbo', 'SBO:0000375')])",b3018,27.45316,1,27.4532,27.4532,,,13.32461149,136,13.32461149,13.32461149,136,,,0.0559647,0.045142418,0.052141698,0.055924383,0.023878824,0.037384479,0.055924385,0.055924385,0.02386636,0.037374629
XTSNH,h2o_c + xtsn_c --> rib__D_c + xan_c,Xanthosine hydrolase,,"OrderedDict([('bigg.reaction', 'XTSNH'), ('biocyc', 'META:RXN0-363'), ('ec-code', '3.2.2.1'), ('kegg.reaction', 'R02143'), ('metanetx.reaction', 'MNXR105245'), ('rhea', ['27994', '27995', '27996', '27997']), ('sbo', 'SBO:0000375')])",b0030,32.56077,1,32.5608,32.5608,10.05742857,10.05742857,16.70395385,133.8957154,16.70395385,16.70395385,133.8957154,,,0,0,0,0,0,0,0,0,0,0
GND,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,Phosphogluconate dehydrogenase,,"OrderedDict([('bigg.reaction', 'GND'), ('biocyc', 'META:RXN-9952'), ('ec-code', ['1.1.1.351', '1.1.1.44']), ('kegg.reaction', 'R01528'), ('metanetx.reaction', 'MNXR100389'), ('rhea', ['10116', '10117', '10118', '10119']), ('sbo', 'SBO:0000375')])",b2029,51.48131,2,51.4813,102.9626,80.61916667,75.31877816,44.76302978,22,44.76302978,44.76302978,133.85138,,,2.35536622,4.385591881,2.712340701,2.425643243,3.629109425,28.47032489,2.425638911,2.425638911,3.627215118,28.47085855
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,Fatty-acyl-ACP hydrolase,,"OrderedDict([('bigg.reaction', 'FA141ACPHi'), ('ec-code', '3.1.2.14'), ('metanetx.reaction', 'MNXR99093'), ('sbo', 'SBO:0000375')])",b0404,22.9611,1,22.9611,22.9611,3.282793103,3.282793103,42.34536354,129.8651533,42.34536356,42.34536356,129.8651533,,,0,0,0,0,0,0,0,0,0,0
ACOAD7f_reverse,fadh2_c + hdd2coa_c --> fad_c + pmtcoa_c,,"OrderedDict([('reflection', 'ACOAD7f')])",,b0221,89.22444,1,89.2244,89.2244,19.69350167,19.69350167,15.90345235,128,15.90345235,15.90345235,128,,,0.1119294,0.090284837,0,0.044666492,0,0,0.044670638,0.044670638,0,0
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,Acyl-CoA dehydrogenase (butanoyl-CoA),,"OrderedDict([('bigg.reaction', 'ACOAD1f'), ('ec-code', ['1.3.3.6', '1.3.8.1', '1.3.8.7', '1.3.99.-', '1.3.99.3']), ('kegg.reaction', 'R01175'), ('metanetx.reaction', 'MNXR95302'), ('rhea', ['24004', '24005', '24006', '24007', '30731', '30732', '30733', '30734']), ('sbo', 'SBO:0000375')])",b0221,89.22444,1,89.2244,89.2244,0.77577,0.77577,20.61594879,120.8313996,20.61594879,20.61594879,120.8313996,,,0,0,0,0,0,0,0,0,0,0
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,Pyruvate kinase,,"OrderedDict([('bigg.reaction', 'PYK'), ('biocyc', 'META:PEPDEPHOS-RXN'), ('ec-code', '2.7.1.40'), ('kegg.reaction', 'R00200'), ('metanetx.reaction', 'MNXR103371'), ('rhea', ['18157', '18158', '18159', '18160']), ('sbo', 'SBO:0000375')])",b1854 or b1676,51.35714 or 50.72942 ,4 or 4 ,50.7294,202.9177,2568.523083,2547.524963,38.79320097,118.7346606,387.9320097,387.9320097,118.7346606,,modify,0,14.35053045,0,0,0,0,2.257388302,2.257388302,15.50482955,0
ACOAD2f,fad_c + hxcoa_c --> fadh2_c + hx2coa_c,Acyl-CoA dehydrogenase (hexanoyl-CoA),"OrderedDict([('reflection', 'ACOAD2f_reverse')])","OrderedDict([('bigg.reaction', 'ACOAD2f'), ('ec-code', '1.3.99.3'), ('metanetx.reaction', 'MNXR95303'), ('sbo', 'SBO:0000375')])",b0221,89.22444,1,89.2244,89.2244,,,20.53963761,118.3982418,20.53963761,20.53963761,118.3982418,,,0,0,0,0,0,0,0,0,0,0
GAPD,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Glyceraldehyde-3-phosphate dehydrogenase,"OrderedDict([('reflection', 'GAPD_reverse')])","OrderedDict([('bigg.reaction', 'GAPD'), ('biocyc', 'META:GAPOXNPHOSPHN-RXN'), ('ec-code', ['1.2.1.12', '1.2.1.59']), ('kegg.reaction', 'R01061'), ('metanetx.reaction', 'MNXR100040'), ('rhea', ['10300', '10301', '10302', '10303']), ('sbo', 'SBO:0000375')])",b1779,35.53249,4,35.5325,142.13,125.234,116.5038824,55.13421091,29,5513.421092,5513.421092,117,,modify,17.1054336,16.835872,17.13005436,17.08352759,17.55101166,9.100258102,17.08352894,17.08352894,17.5439986,9.10062578
PTAr_reverse,actp_c + coa_c --> accoa_c + pi_c,,"OrderedDict([('reflection', 'PTAr')])",,b2297 or b2458,77.17209 or 36.06673 ,6 or 2 ,36.0667,72.1335,1820.688235,1726.503792,120,116.8412892,120,120,116.8412892,,,0.5105755,0,0,0,0,0,0.510207701,0.510207701,0.217736871,2.761535481
ENO,2pg_c --> h2o_c + pep_c,Enolase,"OrderedDict([('reflection', 'ENO_reverse')])","OrderedDict([('bigg.reaction', 'ENO'), ('biocyc', 'META:2PGADEHYDRAT-RXN'), ('ec-code', '4.2.1.11'), ('kegg.reaction', 'R00658'), ('metanetx.reaction', 'MNXR97932'), ('rhea', ['10164', '10165', '10166', '10167']), ('sbo', 'SBO:0000375')])",b2779,45.65495,2,45.655,91.3099,65.09481478,64.06122167,36.18305709,24,3618.305708,3618.305708,115,,modify,15.59889753,15.61911709,15.77108877,15.57807684,17.55101166,8.126039577,15.57807812,15.57807812,17.5439986,8.126533344
MI1PP,h2o_c + mi1p__D_c --> inost_c + pi_c,Myo-inositol 1-phosphatase,,"OrderedDict([('bigg.reaction', 'MI1PP'), ('biocyc', 'META:RXN0-5408'), ('ec-code', '3.1.3.25'), ('kegg.reaction', 'R01185'), ('metanetx.reaction', 'MNXR101570'), ('rhea', ['27670', '27671', '27672', '27673']), ('sbo', 'SBO:0000375')])",b2533,29.17213,1,29.1721,29.1721,3.909,3.909,6.5,112.2336329,6.5,6.5,112.2336329,,,0,0,0,0,0,0,0,0,0,0
GARFT,10fthf_c + gar_c --> fgam_c + h_c + thf_c,Phosphoribosylglycinamide formyltransferase,"OrderedDict([('reflection', 'GARFT_reverse')])","OrderedDict([('bigg.reaction', 'GARFT'), ('ec-code', '2.1.2.2'), ('kegg.reaction', 'R04325'), ('metanetx.reaction', 'MNXR99623'), ('rhea', ['15053', '15054', '15055', '15056']), ('sbo', 'SBO:0000375')])",b2500,23.23828,1,23.2383,23.2383,6.3756,6.3756,22.62854814,112,22.62854814,22.62854814,112,,,0.390758387,0.316929997,0.275114583,0.390476882,0,0.197120611,0.390476899,0.390476899,0,0.197199279
NO3R1pp,2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_p + no2_c + q8_c,Nitrate reductase (Ubiquinol-8) (periplasm),,"OrderedDict([('bigg.reaction', 'NO3R1pp'), ('metanetx.reaction', 'MNXR101986'), ('rhea', ['29147#1', '29148#1', '29149#1', '29150#1']), ('sbo', 'SBO:0000375')])",( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 ),( 26.16059 and 58.55787 and 140.22665 and 26.01792 ) or ( 26.44886 and 140.48939 and 25.49736 and 58.06641 ) ,( 1 and 1 and 1 and 1 ) or ( 1 and 2 and 2 and 2 ) ,250.502,250.963,,,33.84845731,111.5192193,33.84845731,33.84845731,111.5192193,,,0,0,0,0,0,0,0,0,0,0
ATPS4rpp_reverse,atp_c + h2o_c + 3.0 h_c --> adp_c + 4.0 h_p + pi_c,,"OrderedDict([('reflection', 'ATPS4rpp')])",,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 55.22208 and 31.57742 and 15.06827 and 19.33222 and 50.32542 and 13.63173 and 8.25611 and 30.30326 and 17.26396 ) or ( 50.32542 and 19.33222 and 15.06827 and 31.57742 and 55.22208 and 8.25611 and 30.30326 and 17.26396 ) ,( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 ) or ( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) ,227.3487,530.0127,107.3877778,115.6851933,0.35,109.6909466,0.35,0.35,109.6909466,,,0,0,0,0,0,0,0,0,0,0
SUCDi,q8_c + succ_c --> fum_c + q8h2_c,Succinate dehydrogenase (irreversible),,"OrderedDict([('bigg.reaction', 'SUCDi'), ('metanetx.reaction', 'MNXR99641'), ('rhea', ['29187', '29188', '29189', '29190']), ('sbo', 'SBO:0000375')])",b0723 and b0721 and b0722 and b0724,64.42184 and 14.29915 and 12.86754 and 26.76986 ,3 and 3 and 3 and 3 ,118.3584,355.0752,,117.9760388,96.78120303,106.4343896,96.78120303,96.78120303,108.5,,,5.970563487,1.411819968,4.779825008,5.95667911,0,0,5.956679966,5.956679966,0,0
MCTP1Bpp,murein5p5p_p --> alaala_p + murein5px3p_p,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),,"OrderedDict([('bigg.reaction', 'MCTP1Bpp'), ('metanetx.reaction', 'MNXR101427'), ('sbo', 'SBO:0000375')])",b1678 or b0925,36.082 or 67.812 ,1 or 1 ,36.082,36.082,,,13.69801508,104.1531695,13.69801508,13.69801508,104.1531695,,,0,0,0,0,0,0,0,0,0,0
ACOAD3f,fad_c + occoa_c --> fadh2_c + oc2coa_c,Acyl-CoA dehydrogenase (octanoyl-CoA),"OrderedDict([('reflection', 'ACOAD3f_reverse')])","OrderedDict([('bigg.reaction', 'ACOAD3f'), ('ec-code', ['1.3.3.6', '1.3.8.7', '1.3.8.8', '1.3.99.-', '1.3.99.3']), ('kegg.reaction', 'R03777'), ('metanetx.reaction', 'MNXR95304'), ('rhea', ['30943', '30944', '30945', '30946', '48180', '48181', '48182', '48183']), ('sbo', 'SBO:0000375')])",b0221,89.22444,1,89.2244,89.2244,19.69350167,19.69350167,15.3977505,104.1349396,15.3977505,15.3977505,104.1349396,,,0,0,0,0,0,0,0,0,0,0
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,Phosphoenolpyruvate synthase,,"OrderedDict([('bigg.reaction', 'PPS'), ('biocyc', 'META:PEPSYNTH-RXN'), ('ec-code', '2.7.9.2'), ('kegg.reaction', 'R00199'), ('metanetx.reaction', 'MNXR103140'), ('rhea', ['11364', '11365', '11366', '11367']), ('sbo', 'SBO:0000375')])",b1702,87.43508,2,87.4351,174.8702,393.3666,393.3666,30.47554933,103.0247063,30.47554933,30.47554933,103.0247063,,,0,0,0,0,0,0,0,0,0,0
SUCOAS_reverse,adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,,"OrderedDict([('reflection', 'SUCOAS')])",,b0729 and b0728,29.77748 and 41.39265 ,2 and 2 ,71.1701,142.3403,74.682,71.51510786,44.73,10.22191712,44.73,44.73,100.5,,,5.509676018,0,4.350967832,5.496123667,0,0,5.496124503,5.496124503,0,0
PGI,g6p_c --> f6p_c,Glucose-6-phosphate isomerase,"OrderedDict([('reflection', 'PGI_reverse')])","OrderedDict([('bigg.reaction', 'PGI'), ('biocyc', 'META:PGLUCISOM-RXN'), ('ec-code', '5.3.1.9'), ('metanetx.reaction', 'MNXR102535'), ('sbo', 'SBO:0000375')])",b4025,61.52977,2,61.5298,123.0595,1354.681667,1302.747389,92.42163848,71,9242.163847,9242.163847,99.5568595,,modify,7.64463378,5.614408119,7.287659299,7.574356757,6.370890575,0,7.574361089,7.574361089,6.372784882,0
PGI_reverse,f6p_c --> g6p_c,,"OrderedDict([('reflection', 'PGI')])",,b4025,61.52977,2,61.5298,123.0595,1786.8,1704.396415,52.48487602,89.85074978,5248.487603,5248.487603,99.5568595,,modify,0,0,0,0,0,18.47032489,0,0,0,18.47085855
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,,"OrderedDict([('bigg.reaction', 'GMHEPAT'), ('biocyc', 'META:RXN0-4342'), ('ec-code', '2.7.7.70'), ('kegg.reaction', 'R05644'), ('metanetx.reaction', 'MNXR100378'), ('rhea', ['27465', '27466', '27467', '27468']), ('sbo', 'SBO:0000375')])",b3052,51.05062,2,51.0506,102.1012,,,43.20214251,96.75952178,43.2021425,43.2021425,96.75952178,,,0,0,0,0,0,0,0,0,0,0
ACALD,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c,Acetaldehyde dehydrogenase (acetylating),"OrderedDict([('reflection', 'ACALD_reverse')])","OrderedDict([('bigg.reaction', 'ACALD'), ('biocyc', 'META:ACETALD-DEHYDROG-RXN'), ('ec-code', '1.2.1.10'), ('kegg.reaction', 'R00228'), ('metanetx.reaction', 'MNXR95210'), ('rhea', ['23288', '23289', '23290', '23291']), ('sbo', 'SBO:0000375')])",b0351 or b1241,33.44247 or 96.12724 ,1 or 40 ,33.4425,33.4425,11.03,11.03,15.7,96.62174505,15.7,15.7,96.62174505,,,0,0,0,0,0.773253648,0,0,0,0.772766626,2.95E-15
CYANST,cyan_c + tsul_c --> h_c + so3_c + tcynt_c,Cyanide sulfurtransferase,,"OrderedDict([('bigg.reaction', 'CYANST'), ('biocyc', 'META:THIOSULFATE-SULFURTRANSFERASE-RXN'), ('ec-code', '2.8.1.1'), ('kegg.reaction', 'R01931'), ('metanetx.reaction', 'MNXR96956'), ('rhea', ['16881', '16882', '16883', '16884']), ('sbo', 'SBO:0000375')])",b2668 or b3425 or b2521,18.639 or 12.08247 or 30.81184 ,2 or 2 or 1 ,12.0825,24.1649,145.7,145.7,230,92.15883963,230,230,92.15883963,,,0,0,0,0,0,0,0,0,0,0
TKT2,e4p_c + xu5p__D_c --> f6p_c + g3p_c,Transketolase,"OrderedDict([('reflection', 'TKT2_reverse')])","OrderedDict([('bigg.reaction', 'TKT2'), ('biocyc', 'META:2TRANSKETO-RXN'), ('ec-code', '2.2.1.1'), ('kegg.reaction', 'R01830'), ('metanetx.reaction', 'MNXR104869'), ('rhea', ['27626', '27627', '27628', '27629']), ('sbo', 'SBO:0000375')])",b2935 or b2465,72.21174 or 73.04272 ,2 or 1 ,72.2117,73.0427,12448.92086,23.47351731,90.56053438,90.01820152,90.56053439,90.56053439,90.01820152,,,0.278073271,1.052656364,0.431458802,0.301864227,0,0,0.30186276,0.30186276,0.942481178,9.151492149
ACOAD8f_reverse,fadh2_c + od2coa_c --> fad_c + stcoa_c,,"OrderedDict([('reflection', 'ACOAD8f')])",,b0221,89.22444,1,89.2244,89.2244,,,21.71215345,89.7626029,21.71215345,21.71215345,89.7626029,,,0,0,0,0,0,0,0,0,0,0
LPLIPAL1A160pp,1hdecg3p_p + h2o_p --> glyc3p_p + h_p + hdca_p,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",,"OrderedDict([('bigg.reaction', 'LPLIPAL1A160pp'), ('ec-code', '3.1.1.5'), ('metanetx.reaction', 'MNXR101144'), ('sbo', 'SBO:0000375')])",b0494,23.62216,4,23.6222,94.4886,1034.85,1034.85,17.07340573,87.08311359,17.07340573,17.07340573,87.08311359,,,0,0,0,0,0,0,0,0,0,0
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,Inorganic diphosphatase,,"OrderedDict([('bigg.reaction', 'PPA'), ('biocyc', 'META:INORGPYROPHOSPHAT-RXN'), ('ec-code', '3.6.1.1'), ('kegg.reaction', 'R00004'), ('metanetx.reaction', 'MNXR100808'), ('rhea', ['24576', '24577', '24578', '24579']), ('sbo', 'SBO:0000375')])",b2502 or b2744 or b4226,58.13597 or 26.90043 or 19.70356 ,2 or 1 or 6 ,19.7036,26.9004,102.9238462,102.9238462,390,84.26185339,390,390,84.26185339,,,3.070860997,2.477503409,0,0,0,0,3.068648864,3.068648864,1.309580396,2.193251835
DAPE,26dap_LL_c --> 26dap__M_c,Diaminopimelate epimerase,"OrderedDict([('reflection', 'DAPE_reverse')])","OrderedDict([('bigg.reaction', 'DAPE'), ('biocyc', 'META:DIAMINOPIMEPIM-RXN'), ('ec-code', '5.1.1.7'), ('kegg.reaction', 'R02735'), ('metanetx.reaction', 'MNXR97143'), ('rhea', ['15393', '15394', '15395', '15396']), ('sbo', 'SBO:0000375')])",b3809,30.20856,2,30.2086,60.4171,69.786625,62.88755068,22.35190319,84,22.35190319,22.35190319,84,,,0.32532124,0.262411617,0.303098237,0.325086876,0.138806938,0.217314932,0.32508689,0.32508689,0.138734485,0.217257672
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,Homoserine kinase,,"OrderedDict([('bigg.reaction', 'HSK'), ('biocyc', 'META:HOMOSERKIN-RXN'), ('ec-code', '2.7.1.39'), ('kegg.reaction', 'R01771'), ('metanetx.reaction', 'MNXR100737'), ('rhea', ['13985', '13986', '13987', '13988']), ('sbo', 'SBO:0000375')])",b0003,33.62365,2,33.6236,67.2473,11.78181818,13.71518452,46.513199,81,46.513199,46.513199,81,,,0.477275916,0.384981765,0.444672745,0.476932083,0.825994627,0.318820817,0.476932104,0.476932104,0.825563477,0.318736811
GMHEPPA,gmhep17bp_c + h2o_c --> gmhep1p_c + pi_c,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",,"OrderedDict([('bigg.reaction', 'GMHEPPA'), ('metanetx.reaction', 'MNXR100380'), ('sbo', 'SBO:0000375')])",b0200,21.29424,1,21.2942,21.2942,,,20.17995521,78.72973535,20.17995521,20.17995521,78.72973535,,,0,0,0,0,0,0,0,0,0,0
DHQS,2dda7p_c --> 3dhq_c + pi_c,3-dehydroquinate synthase,,"OrderedDict([('bigg.reaction', 'DHQS'), ('biocyc', 'META:3-DEHYDROQUINATE-SYNTHASE-RXN'), ('ec-code', '4.2.3.4'), ('kegg.reaction', 'R03083'), ('metanetx.reaction', 'MNXR97447'), ('rhea', ['21968', '21969', '21970', '21971']), ('sbo', 'SBO:0000375')])",b3389,38.88099,1,38.881,38.881,1928.769231,1792.954095,50.64992988,78,50.64992989,50.64992989,78,,,0.334240301,0.269605938,0.311408029,0.333999512,0.142612493,0.223272875,0.333999527,0.333999527,0.142538053,0.223214045
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,CDP-diacylglycerol synthetase (n-C16:1),,"OrderedDict([('bigg.reaction', 'DASYN161'), ('ec-code', '2.7.7.41'), ('metanetx.reaction', 'MNXR97159'), ('sbo', 'SBO:0000375')])",b0175,31.45378,1,31.4538,31.4538,5.806666667,5.806666667,14.09478426,78,14.09478426,14.09478426,78,,,0.065962468,0.053206849,0.06145651,0.065914949,0.028144637,0.044062999,0.065914952,0.065914952,0.028129947,0.044051389
FBP,fdp_c + h2o_c --> f6p_c + pi_c,Fructose-bisphosphatase,,"OrderedDict([('bigg.reaction', 'FBP'), ('ec-code', '3.1.3.11'), ('metanetx.reaction', 'MNXR99465'), ('rhea', ['11064', '11065', '11066', '11067']), ('sbo', 'SBO:0000375')])",b2930 or b4232 or b3925 or b3697,34.32343 or 36.83393 or 35.85231 or 29.721 ,2 or 4 or 2 or 1 ,29.721,29.721,19.01666667,166.8892333,22,76.22062688,22,22,76.22062688,,,0,0,0,0,0,0,0,0,0,0
UGCIAMH,h2o_c + urdgci_c --> nh4_c + urdglyc_c,Ureidoglycine aminohydrolase,,"OrderedDict([('bigg.reaction', 'UGCIAMH'), ('sbo', 'SBO:0000375')])",b0515,28.73,1,28.73,28.73,,,38.14039707,71.65079343,38.14039708,38.14039708,71.65079343,,,0,0,0,0,0,0,0,0,0,0
