,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
3OAR120_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.5603 # 102.2412,88.0 # 85.49 # 31.85 # 46.67 # 31.85 # 31.85 # 46.67
FHL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,311.4924 # 311.4924,nan # nan # 13.27 # 46.14 # 13.27 # 13.27 # 46.14
PPC,2.6 # 2.59 # 2.59,2.6 # 0.68 # 1.73 # 1.73,99.0626 # 396.2504,74.6 # 73.22 # 540.0 # 46.0 # 540.0 # 540.0 # 46.0
PHETA1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.0936 # 87.0756,188.05 # 175.01 # 180.0 # 45.32 # 180.0 # 180.0 # 45.32
PPM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.37 # 44.37,81.38 # 81.38 # 15.19 # 44.14 # 15.19 # 15.19 # 44.14
TDP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,17.4329 # 17.4329,0.57 # 0.57 # 21.76 # 43.84 # 21.76 # 21.76 # 43.84
UAPGR,0.02 # 0.02 # 0.02,0.02 # 0.02 # 0.02 # 0.02,37.851 # 37.851,30.21 # 29.95 # 16.36 # 43.0 # 16.36 # 16.36 # 43.0
FACOAE161,0.13 # 0.13 # 0.13,0.13 # 0.11 # 0.09 # 0.09,31.9663 # 127.8653,nan # nan # 15.91 # 43.0 # 15.91 # 15.91 # 43.0
MDDCP5pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.849 # 41.849,33.84 # 33.84 # 13.88 # 42.23 # 13.88 # 13.88 # 42.23
G6PDA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.7742 # 178.6452,287.96 # 287.96 # 1800.0 # 42.01 # 1800.0 # 1800.0 # 42.01
GK1,0.21 # 0.21 # 0.21,0.21 # 0.17 # 0.14 # 0.14,23.5927 # 47.1854,287.38 # 330.72 # 209.0 # 42.0 # 209.0 # 209.0 # 42.0
CHORS,0.33 # 0.33 # 0.33,0.33 # 0.27 # 0.22 # 0.22,39.1374 # 156.5498,0.44 # 9.96 # 28.7 # 42.0 # 28.7 # 28.7 # 42.0
ALLTN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,49.6016 # 198.4064,703.81 # 703.81 # 0.58 # 41.74 # 0.58 # 0.58 # 41.74
TKT2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,72.2117 # 73.0427,12448.92 # 12083.08 # 42.56 # 41.61 # 42.56 # 42.56 # 41.61
FACOAE100,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.9663 # 127.8653,10.84 # 10.84 # 36.87 # 41.34 # 36.87 # 36.87 # 41.34
ALCD19_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.3796 # 141.5183,5.04 # 5.04 # 11.22 # 40.93 # 11.22 # 11.22 # 40.93
PPM2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.37 # 44.37,105.95 # 105.95 # 15.96 # 40.8 # 15.96 # 15.96 # 40.8
CITL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,119.242 # 614.1003,nan # nan # 25.12 # 40.18 # 25.12 # 25.12 # 40.18
DAPDC,0.3 # 0.3 # 0.3,0.3 # 0.24 # 0.2 # 0.2,46.1773 # 92.3545,19.61 # 20.96 # 19.06 # 40.0 # 19.06 # 19.06 # 40.0
ACALD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.4425 # 33.4425,8.82 # 8.82 # 29.89 # 39.64 # 29.89 # 29.89 # 39.64
GUAD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,50.2442 # 50.2442,137.62 # 137.62 # 41.78 # 39.52 # 41.78 # 41.78 # 39.52
DDPA,0.33 # 0.33 # 0.33,0.33 # 0.27 # 0.0 # 0.22,38.0095 # 77.4701,38.61 # 36.99 # 1.7 # 39.09 # 1.7 # 1.7 # 39.09
MDH3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,60.2296 # 60.2296,nan # nan # 15.61 # 38.75 # 15.61 # 15.61 # 38.75
SERAT,0.22 # 0.22 # 0.22,0.22 # 0.18 # 0.14 # 0.14,29.3166 # 175.8998,1759.77 # 1759.77 # 16.9 # 38.0 # 16.9 # 16.9 # 38.0
GLUSy,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,215.3123 # 861.2489999999999,23.6 # 23.6 # 12.64 # 37.64 # 12.64 # 12.64 # 37.64
GHBDHx_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.1581 # 124.6326,1329.0 # 1329.0 # 35.48 # 37.54 # 35.48 # 35.48 # 37.54
NADH17pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,540.4142 # 540.4142,186.92 # 211.07 # 28.9 # 37.42 # 28.9 # 28.9 # 37.42
SERASr_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,141.991 # 141.991,nan # nan # 10.64 # 37.01 # 10.64 # 10.64 # 37.01
GAPD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.5325 # 142.13,125.23 # 116.5 # 26.51 # 15.79 # 26.51 # 26.51 # 36.8
ASPK_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,48.5317 # 97.0635,20.91 # 19.6 # 12.89 # 36.63 # 12.89 # 12.89 # 36.63
GDMANE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.1411 # 72.2823,nan # nan # 34.75 # 36.11 # 34.75 # 34.75 # 36.11
FACOAE160,0.11 # 0.04 # 0.04,0.11 # 0.09 # 0.0 # 0.0,31.9663 # 127.8653,10.84 # 10.84 # 17.08 # 36.0 # 17.08 # 17.08 # 36.0
U23GAAT,0.03 # 0.03 # 0.03,0.03 # 0.03 # 0.02 # 0.02,36.0385 # 108.1154,262.0 # 262.0 # 10.74 # 36.0 # 10.74 # 10.74 # 36.0
FORCT_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.8282 # 91.6564,4.53 # 4.53 # 18.68 # 35.85 # 18.68 # 18.68 # 35.85
CRNBTCT_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.1268 # 90.2535,nan # nan # 26.03 # 35.82 # 26.03 # 26.03 # 35.82
CDGUNPD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.601 # 29.601,nan # nan # 40.68 # 35.26 # 40.68 # 40.68 # 35.26
MCTP2App,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,228.3702 # 228.3702,nan # nan # 47.52 # 34.94 # 47.52 # 47.52 # 34.94
PDE1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.938000000000002 # 30.938000000000002,5.19 # 5.19 # 232.03 # 34.34 # 232.03 # 232.03 # 34.34
IPPMIb_reverse,0.4 # 0.39 # 0.39,0.4 # 0.32 # 0.26 # 0.26,72.3693 # 72.3693,3.2 # 2.67 # 17.15 # 34.23 # 17.15 # 17.15 # 34.23
CHORM,0.28 # 0.0 # 0.28,0.28 # 0.23 # 0.19 # 0.19,42.0425 # 84.085,147457.65 # 140085.64 # 34.18 # 34.19 # 34.18 # 34.18 # 34.19
G3PD2_reverse,0.12 # 0.12 # 0.12,0.12 # 0.1 # 0.08 # 0.08,36.3616 # 72.7232,nan # nan # 17.46 # 34.0 # 17.46 # 17.46 # 34.0
GLNS,1.37 # 1.37 # 1.37,1.37 # 1.11 # 0.92 # 0.92,51.9038 # 622.8451,139.83 # 134.9 # 4.5 # 33.26 # 450.0 # 450.0 # 33.26
GLYCTO4,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,137.2828 # 137.2828,nan # nan # 11.09 # 32.52 # 11.09 # 11.09 # 32.52
YUMPS_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.91 # 98.73,nan # nan # 19.81 # 32.52 # 19.81 # 19.81 # 32.52
FBA,5.56 # 0.0 # 8.43,5.56 # 7.92 # 0.0 # 0.0,38.1092 # 78.2945,10.25 # 10.29 # 8.2 # 10.4 # 820.0 # 820.0 # 32.25
P5CR,0.19 # 0.19 # 0.19,0.19 # 0.16 # 0.13 # 0.13,28.1449 # 281.4488,630.07 # 573.56 # 22.95 # 32.0 # 22.95 # 22.95 # 32.0
CFAS160G,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,43.909 # 87.818,14.67 # 14.67 # 0.12 # 31.92 # 0.12 # 0.12 # 31.92
ALAR,0.04 # 0.04 # 0.04,0.04 # 0.03 # 0.02 # 0.02,38.8446 # 77.6892,42.34 # 42.34 # 27.67 # 31.66 # 27.67 # 27.67 # 31.66
ECAP2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,135.966 # 135.966,nan # nan # 10.28 # 31.43 # 10.28 # 10.28 # 31.43
AGDC,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.9491 # 163.7964,236.81 # 236.81 # 105.0 # 31.37 # 105.0 # 105.0 # 31.37
ADK1,2.3 # 0.0 # 0.0,2.3 # 1.86 # 0.0 # 0.0,23.586 # 23.586,32.58 # 29.69 # 49.08 # 31.0 # 49.08 # 49.08 # 31.0
PGMT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.7798 # 20.7798,57.65 # 57.65 # 0.01 # 30.99 # 0.01 # 0.01 # 30.99
GDPMNH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,18.2735 # 36.547,nan # nan # 22.56 # 30.93 # 22.56 # 22.56 # 30.93
ALLULPE_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1092 # 26.1092,nan # nan # 9.31 # 30.77 # 9.31 # 9.31 # 30.77
DAPE_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.2086 # 60.4171,69.79 # 62.89 # 67.0 # 30.55 # 67.0 # 67.0 # 30.55
CFAS180G,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,43.909 # 87.818,14.67 # 14.67 # 0.12 # 29.94 # 0.12 # 0.12 # 29.94
IPPMIa_reverse,0.4 # 0.39 # 0.39,0.4 # 0.32 # 0.26 # 0.26,72.3693 # 72.3693,3.2 # 2.67 # 22.58 # 29.6 # 22.58 # 22.58 # 29.6
UAMAGS,0.02 # 0.02 # 0.02,0.02 # 0.02 # 0.02 # 0.02,46.9736 # 46.9736,999.0 # 999.0 # 7.15 # 29.0 # 7.15 # 7.15 # 29.0
ALAR_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.8446 # 77.6892,5.0 # 5.0 # 27.67 # 28.97 # 27.67 # 27.67 # 28.97
SADT2,0.22 # 0.22 # 0.22,0.22 # 0.18 # 0.14 # 0.14,87.7468 # 350.9871,6.06 # 5.78 # 10.59 # 28.46 # 10.59 # 10.59 # 28.46
FA140ACPHi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.9611 # 22.9611,3.28 # 3.28 # 66.3 # 27.85 # 66.3 # 66.3 # 27.85
TMAOR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,144.0938 # 144.0938,nan # nan # 84.77 # 27.8 # 84.77 # 84.77 # 27.8
ADMDC,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.3846 # 30.3846,4.55 # 4.55 # 22.67 # 27.51 # 22.67 # 22.67 # 27.51
PPCK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,59.6435 # 59.6435,26.93 # 26.93 # 0.67 # 26.96 # 0.67 # 0.67 # 26.96
G3PD7,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,148.4235 # 148.4235,33.3 # 33.3 # 17.89 # 26.96 # 17.89 # 17.89 # 26.96
ADD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,63.7394 # 127.4787,89.1 # 89.1 # 200.0 # 26.92 # 200.0 # 200.0 # 26.92
ARMEPNS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,101.125 # 101.125,nan # nan # 11.54 # 26.67 # 11.54 # 11.54 # 26.67
GALT1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.8259 # 40.8259,nan # nan # 10.34 # 26.41 # 10.34 # 10.34 # 26.41
DMSOR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,144.0938 # 144.0938,nan # nan # 13.0 # 26.32 # 13.0 # 13.0 # 26.32
NADTRHD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.5604 # 412.4831,152.37 # 152.37 # 23.74 # 26.28 # 23.74 # 23.74 # 26.28
ACODA,0.26 # 0.26 # 0.26,0.26 # 0.21 # 0.17 # 0.17,42.3473 # 84.6947,507.16 # 501.46 # 3800.0 # 26.0 # 3800.0 # 3800.0 # 26.0
L_LACD2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,42.7282 # 42.7282,169.05 # 169.05 # 21.48 # 25.99 # 21.48 # 21.48 # 25.99
SELNPS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.6873 # 73.3745,nan # nan # 9.62 # 25.5 # 9.62 # 9.62 # 25.5
UGLYCH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,18.1696 # 18.1696,184.05 # 184.05 # 34.47 # 25.39 # 34.47 # 34.47 # 25.39
PPGPPDP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,79.3424 # 79.3424,2.64 # 2.64 # 11.14 # 25.2 # 11.14 # 11.14 # 25.2
GLU5K,0.19 # 0.19 # 0.19,0.19 # 0.16 # 0.13 # 0.13,39.0565 # 156.2261,nan # nan # 19.03 # 25.0 # 19.03 # 19.03 # 25.0
PTA2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.1721 # 463.0325,361.68 # 341.99 # 37.63 # 24.98 # 37.63 # 37.63 # 24.98
GLUR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.002 # 31.002,48.03 # 48.03 # 12.17 # 24.56 # 12.17 # 12.17 # 24.56
ECAtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.9597 # 44.9597,nan # nan # 26.22 # 24.12 # 26.22 # 26.22 # 24.12
MALS,-0.0 # 0.0 # -0.0,-0.0 # 1.41 # 0.0 # 0.0,60.2736 # 60.2736,140.03 # 140.03 # 48.1 # 23.46 # 48.1 # 48.1 # 24.05
CYTK1,0.16 # 0.16 # 0.16,0.16 # 0.13 # 0.11 # 0.11,24.7463 # 24.7463,151.26 # 151.26 # 103.0 # 24.0 # 103.0 # 103.0 # 24.0
AGPR_reverse,0.26 # 0.26 # 0.26,0.26 # 0.21 # 0.17 # 0.17,35.9521 # 35.9521,nan # nan # 32.89 # 24.0 # 32.89 # 32.89 # 24.0
OMPDC,0.29 # 0.29 # 0.29,0.29 # 0.23 # 0.19 # 0.19,26.3502 # 52.7005,68.93 # 66.19 # 5.0 # 24.0 # 5.0 # 5.0 # 24.0
ALCD2x_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.3796 # 141.5183,313.11 # 313.11 # 26.21 # 23.98 # 26.21 # 26.21 # 23.98
ARABDI,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,64.9767 # 389.86,0.11 # 0.11 # 11.86 # 23.98 # 11.86 # 11.86 # 23.98
GUI1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.9872 # 53.9872,67.87 # 67.87 # 196.0 # 23.93 # 196.0 # 196.0 # 23.93
RBP4E,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.2777 # 25.2777,17.79 # 17.79 # 0.85 # 23.42 # 0.85 # 0.85 # 23.42
2AGPEAT160,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,80.7 # 80.7,nan # nan # 8.34 # 23.29 # 8.34 # 8.34 # 23.29
PUACGAMS_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,66.848 # 66.848,nan # nan # 20.73 # 22.94 # 20.73 # 20.73 # 22.94
DHAPT,2.28 # 0.0 # 0.0,2.28 # 0.0 # 0.0 # 0.0,184.9768 # 360.8342,2.52 # 2.52 # 2.8 # 22.76 # 2.8 # 2.8 # 22.76
AMPTASECG,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,46.1802 # 98.9189,128.67 # 128.67 # 178.33 # 22.51 # 178.33 # 178.33 # 22.51
MANPGH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,100.015 # 100.015,nan # nan # 28.42 # 22.4 # 28.42 # 28.42 # 22.4
SUCOAS,0.0 # 0.0 # 0.0,0.0 # 0.37 # 0.0 # 0.0,71.1701 # 142.3403,28.58 # 28.2 # 44.73 # 7.95 # 44.73 # 44.73 # 22.36
DMSOR2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,129.2504 # 129.2504,nan # nan # 18.37 # 22.07 # 18.37 # 18.37 # 22.07
BPNT,0.22 # 0.22 # 0.22,0.22 # 0.18 # 0.14 # 0.14,27.1759 # 27.1759,7.36 # 7.36 # 106.89 # 22.0 # 106.89 # 106.89 # 22.0
PRATPP,0.08 # 0.08 # 0.08,0.08 # 0.07 # 0.06 # 0.06,22.7558 # 22.7558,nan # nan # 26.92 # 22.0 # 26.92 # 26.92 # 22.0
PRAMPC,0.08 # 0.08 # 0.08,0.08 # 0.07 # 0.06 # 0.06,22.7558 # 22.7558,4.22 # 4.6 # 24.95 # 22.0 # 24.95 # 24.95 # 22.0
ADSK,0.22 # 0.22 # 0.22,0.22 # 0.18 # 0.14 # 0.14,22.3213 # 44.6426,43.23 # 43.23 # 18.65 # 22.0 # 18.65 # 18.65 # 22.0
FACOAE120,0.07 # 0.14 # 0.14,0.07 # 0.06 # 0.12 # 0.12,31.9663 # 127.8653,10.84 # 10.84 # 10.13 # 22.0 # 10.13 # 10.13 # 22.0
PPND,0.12 # 0.12 # 0.12,0.12 # 0.1 # 0.08 # 0.08,42.0425 # 84.085,39.52 # 40.25 # 0.45 # 22.0 # 0.45 # 0.45 # 22.0
SERD_L,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.232 # 48.7529,261.35 # 261.35 # 1.6 # 21.9 # 1.6 # 1.6 # 21.9
WCOS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.0673 # 88.1345,nan # nan # 9.69 # 21.82 # 9.69 # 9.69 # 21.82
MLTP1_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,90.5224 # 181.0448,49.31 # 49.31 # 25.74 # 21.75 # 25.74 # 25.74 # 21.75
AP4AH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.2967 # 31.2967,56.24 # 56.24 # 29.27 # 21.43 # 29.27 # 29.27 # 21.43
DXYLTD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,69.399 # 69.399,nan # nan # 15.0 # 21.43 # 15.0 # 15.0 # 21.43
SGDS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.8002 # 35.8002,nan # nan # 37.48 # 21.25 # 37.48 # 37.48 # 21.25
NHFRBO,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,95.6378 # 258.3403,183.4 # 183.4 # 0.12 # 21.19 # 0.12 # 0.12 # 21.19
ACOAD8f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,nan # nan # 13.04 # 21.15 # 13.04 # 13.04 # 21.15
PSCVT,0.33 # 0.33 # 0.33,0.33 # 0.27 # 0.22 # 0.22,46.0958 # 46.0958,18.74 # 18.51 # 100.0 # 21.0 # 100.0 # 100.0 # 21.0
ASPTA_reverse,2.57 # 0.0 # 2.57,2.57 # 2.07 # 0.0 # 1.71,43.5378 # 87.0756,293.83 # 271.65 # 38.95 # 21.0 # 38.95 # 38.95 # 21.0
UHGADA,0.03 # 0.03 # 0.03,0.03 # 0.03 # 0.02 # 0.02,33.9559 # 33.9559,1.0 # 1.0 # 17.59 # 21.0 # 17.59 # 17.59 # 21.0
GLUR_reverse,0.02 # 0.02 # 0.02,0.02 # 0.02 # 0.02 # 0.02,31.002 # 31.002,5857.62 # 5857.62 # 12.17 # 21.0 # 12.17 # 12.17 # 21.0
GTHRDHpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,61.768 # 61.768,12.45 # 12.45 # 16.71 # 20.87 # 16.71 # 16.71 # 20.87
S4FE4SR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,129.1504 # 156.7328,nan # nan # 30.41 # 20.81 # 30.41 # 30.41 # 20.81
THRD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.239000000000004 # 40.351,155.6 # 155.6 # 88.0 # 20.72 # 88.0 # 88.0 # 20.72
LACZ,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,116.4829 # 465.9314,531.1 # 531.1 # 33.41 # 20.6 # 33.41 # 33.41 # 20.6
OXCOAHDH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,73.0026 # 73.0026,nan # nan # 13.21 # 20.52 # 13.21 # 13.21 # 20.52
ALAGLUE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.674 # 34.674,6.91 # 6.91 # 24.14 # 20.41 # 24.14 # 24.14 # 20.41
GALCTD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,56.4016 # 56.4016,7.02 # 7.02 # 28.24 # 20.26 # 28.24 # 28.24 # 20.26
MLTGY2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.2266 # 22.2266,nan # nan # 21.32 # 20.04 # 21.32 # 21.32 # 20.04
FA161ACPHi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.9611 # 22.9611,3.28 # 3.28 # 36.53 # 20.0 # 36.53 # 36.53 # 20.0
DHORD2,0.29 # 0.29 # 0.29,0.29 # 0.23 # 0.19 # 0.19,36.7745 # 36.7745,nan # 44.41 # 24.94 # 20.0 # 24.94 # 24.94 # 20.0
PRAGSr,0.39 # 0.39 # 0.39,0.39 # 0.32 # 0.26 # 0.26,45.9404 # 45.9404,203.34 # 170.52 # 11.35 # 20.0 # 11.35 # 11.35 # 20.0
PGCD,1.51 # 1.51 # 1.51,1.51 # 1.22 # 0.97 # 0.97,44.1758 # 176.7031,905.5 # 845.4 # 0.55 # 20.0 # 55.0 # 55.0 # 20.0
FESR,0.01 # 0.01 # 0.01,0.01 # 0.01 # 0.0 # 0.0,24.8826 # 24.8826,nan # nan # 67.64 # 19.96 # 67.64 # 67.64 # 19.96
DXYLTD_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,69.399 # 69.399,nan # nan # 13.92 # 19.92 # 13.92 # 13.92 # 19.92
SULR,0.22 # 0.22 # 0.22,0.22 # 0.18 # 0.14 # 0.14,130.268 # 786.1512,254.84 # 236.67 # 25.73 # 19.89 # 25.73 # 25.73 # 19.89
MLDCP2Bpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.411 # 34.411,160.0 # 160.0 # 18.09 # 19.87 # 18.09 # 18.09 # 19.87
ETHAAL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,81.1846 # 487.1078,128.84 # 128.84 # 770.0 # 19.84 # 770.0 # 770.0 # 19.84
GAPP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.33 # 24.33,nan # nan # 16.81 # 19.84 # 16.81 # 16.81 # 19.84
AGPAT181,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.4532 # 27.4532,nan # nan # 10.96 # 19.77 # 10.96 # 10.96 # 19.77
HSDy,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,88.8877 # 177.7754,5.35 # 5.33 # 0.24 # 19.56 # 0.24 # 0.24 # 19.56
PETNT181pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,63.8044 # 63.8044,nan # nan # 19.64 # 19.46 # 19.64 # 19.64 # 19.46
ALTRH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,54.0931 # 54.0931,nan # nan # 36.06 # 19.41 # 36.06 # 36.06 # 19.41
TYRTA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.0936 # 87.0756,335.93 # 313.9 # 12.47 # 19.32 # 12.47 # 12.47 # 19.32
GSNK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,48.4488 # 96.8976,nan # nan # 10.79 # 19.17 # 10.79 # 10.79 # 19.17
G3PD2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.3616 # 72.7232,nan # nan # 31.04 # 19.07 # 31.04 # 31.04 # 19.07
ASNS2,0.21 # 0.21 # 0.21,0.21 # 0.17 # 0.14 # 0.14,36.6506 # 73.3011,2.02 # 2.02 # 16.16 # 19.0 # 16.16 # 16.16 # 19.0
FCLK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.2587 # 52.2587,nan # nan # 10.8 # 18.95 # 10.8 # 10.8 # 18.95
UGLT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.6457 # 79.2914,295.09 # 295.09 # 62.0 # 18.86 # 62.0 # 62.0 # 18.86
UDPGPT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.408 # 52.408,nan # nan # 20.9 # 18.74 # 20.9 # 20.9 # 18.74
F6PA,2.28 # 0.0 # 0.0,2.28 # 0.0 # 0.0 # 0.0,22.9968 # 23.5552,nan # nan # 68.93 # 18.67 # 68.93 # 68.93 # 18.67
ACHBS,0.25 # 0.25 # 0.25,0.25 # 0.21 # 0.17 # 0.17,71.5463 # 143.0927,36.5 # 36.5 # 71.0 # 18.63 # 71.0 # 71.0 # 18.63
ALCD19,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.3796 # 141.5183,5.04 # 5.04 # 17.43 # 18.61 # 17.43 # 17.43 # 18.61
MANAO_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.5802 # 53.5802,nan # nan # 25.29 # 18.44 # 25.29 # 25.29 # 18.44
HEPT4,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.7295 # 41.7295,nan # nan # 14.61 # 18.35 # 14.61 # 14.61 # 18.35
